# Accelerometer Data File
# Started @Wed Mar 30 10:14:19 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
1.451 1.244 1.538 8
1.812 1.334 1.289 8
2.041 1.165 0.897 9
1.971 0.777 0.518 8
1.487 0.268 0.19 9
0.723 -0.315 -0.028 8
-0.095 -0.922 -0.077 8
-0.752 -1.486 0.102 9
-1.129 -1.924 0.677 8
-1.186 -2.307 1.358 9
-1.144 -2.589 2.099 8
-1.045 -2.789 2.815 8
-0.877 -2.899 3.376 9
-0.669 -2.845 3.615 8
-0.412 -2.549 3.145 8
-0.054 -2.059 2.088 9
0.415 -1.451 0.825 8
0.969 -0.832 -0.409 9
1.519 -0.295 -1.516 8
1.9 0.118 -2.503 8
1.972 0.425 -3.226 9
1.741 0.593 -3.607 8
1.445 0.658 -3.853 9
1.075 0.61 -3.926 8
0.667 0.463 -3.753 8
0.392 0.272 -3.293 9
0.138 0.037 -2.53 8
-0.054 -0.244 -1.686 9
-0.171 -0.489 -0.965 8
-0.216 -0.685 -0.428 8
-0.218 -0.832 -0.052 9
-0.223 -0.907 0.21 8
-0.454 -0.885 0.076 9
-0.655 -0.831 -0.163 8
-0.808 -0.741 -0.386 8
-0.857 -0.615 -0.563 9
-0.805 -0.469 -0.688 8
-0.714 -0.314 -0.706 9
-0.7 -0.179 -0.765 8
-0.726 -0.054 -0.892 8
-0.799 0.044 -1.016 9
-0.854 0.109 -1.074 8
-0.847 0.153 -1.058 8
-0.848 0.226 -1.06 9
-0.864 0.276 -0.951 8
-0.942 0.308 -0.767 9
-0.965 0.31 -0.567 8
-0.894 0.346 -0.378 8
-0.722 0.443 -0.22 9
-0.513 0.514 -0.134 8
-0.338 0.589 -0.142 9
-0.139 0.658 -0.168 8
0.066 0.685 -0.17 8
0.293 0.7 -0.151 9
0.523 0.732 -0.127 8
0.649 0.742 -0.088 9
