# Accelerometer Data File
# Started @Wed Mar 30 10:28:48 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.315 0.09 -0.238 8
-0.34 0.107 -0.126 9
-0.234 0.077 -0.064 8
-0.137 0.059 -0.093 8
-0.01 0.055 -0.129 9
0.16 0.061 -0.119 8
0.348 0.072 -0.048 9
0.489 0.084 0.06 8
0.604 0.08 0.179 8
0.662 0.05 0.298 9
0.594 0.033 0.382 8
0.417 0.029 0.408 9
0.222 0.013 0.377 8
0.119 0.005 0.29 8
0.125 0.013 0.205 9
0.215 0.017 0.187 8
0.311 0.034 0.221 9
0.344 0.077 0.278 8
0.278 0.14 0.326 8
0.162 0.196 0.307 9
0.168 0.213 0.27 8
0.203 0.219 0.208 9
0.241 0.241 0.121 8
0.261 0.283 0.013 8
0.244 0.324 -0.106 9
0.208 0.325 -0.239 8
0.211 0.328 -0.264 8
0.239 0.295 -0.264 9
0.225 0.261 -0.228 8
0.133 0.227 -0.157 9
-0.031 0.154 -0.077 8
-0.22 0.071 -0.014 8
-0.334 0.0 0.049 9
-0.339 -0.043 0.073 8
-0.233 -0.088 0.085 9
-0.06 -0.135 0.11 8
0.094 -0.147 0.159 8
0.185 -0.147 0.24 9
0.204 -0.161 0.303 8
0.118 -0.171 0.259 9
0.024 -0.183 0.151 8
-0.01 -0.193 0.056 8
-0.002 -0.182 0.046 9
0.043 -0.151 0.153 8
0.117 -0.087 0.3 9
0.187 -0.048 0.402 8
0.233 -0.031 0.425 8
0.239 -0.022 0.377 9
0.2 -0.012 0.302 8
0.149 0.011 0.22 9
0.14 0.028 0.148 8
0.148 0.049 0.07 8
0.15 0.098 -0.009 9
0.157 0.156 -0.069 8
0.222 0.153 -0.073 8
0.168 0.176 -0.103 9
0.076 0.184 -0.168 8
0.069 0.159 -0.223 9
0.119 0.133 -0.272 8
0.163 0.131 -0.315 8
0.166 0.139 -0.322 9
0.256 0.157 -0.224 8
0.279 0.137 -0.168 9
0.276 0.099 -0.129 8
0.291 0.042 -0.083 8
0.322 -0.017 -0.007 9
0.283 -0.035 0.115 8
0.253 -0.065 0.208 9
0.222 -0.085 0.297 8
0.195 -0.098 0.341 8
0.156 -0.105 0.368 9
0.096 -0.106 0.421 8
0.039 -0.093 0.51 9
-0.141 -0.177 0.518 8
-0.392 -0.262 0.316 8
-0.648 -0.281 0.018 9
-0.766 -0.234 -0.242 8
-0.641 -0.151 -0.373 8
-0.321 -0.071 -0.38 9
-0.023 -0.035 -0.299 8
