# Accelerometer Data File
# Started @Tue Mar 29 09:29:06 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
3.568 2.094 -2.441 8
3.217 1.807 -2.752 8
3.209 1.697 -2.334 9
3.069 1.55 -1.985 8
2.662 1.367 -1.687 8
2.021 1.153 -1.336 9
1.27 0.831 -1.079 8
0.51 0.454 -0.919 9
-0.528 -0.019 -0.922 8
-1.425 -0.41 -0.705 8
-1.954 -0.588 -0.504 9
-2.009 -0.504 -0.519 8
-1.589 -0.223 -0.559 9
-1.348 0.048 -0.142 8
-1.125 0.278 0.422 8
-0.971 0.213 0.52 9
-1.023 0.171 0.371 8
-1.351 0.39 0.388 9
-1.852 0.628 0.792 8
-2.442 1.087 2.686 8
-2.675 1.527 2.096 9
-3.302 1.584 0.513 8
-3.865 1.155 -0.806 9
-3.972 0.455 -1.018 8
-4.137 0.019 0.021 8
-3.942 0.212 0.548 9
-3.125 0.51 0.267 8
-2.706 0.653 -0.031 9
-2.374 0.368 0.0 8
-1.886 -0.225 0.25 8
-2.015 -0.346 0.14 9
-1.102 -0.421 0.065 8
0.37 -0.148 0.032 8
1.385 0.465 0.155 9
1.696 1.272 0.393 8
1.448 2.103 0.648 9
0.877 2.87 0.843 8
0.678 3.353 0.495 8
0.698 3.407 0.857 9
0.937 3.196 1.369 8
1.23 2.805 1.962 9
1.416 2.262 2.592 8
1.472 1.547 2.857 8
1.534 0.64 2.664 9
1.767 -0.216 2.654 8
1.927 -0.76 2.523 9
2.071 -1.038 1.634 8
2.516 -1.397 -0.212 8
3.787 -2.489 -2.036 9
4.607 -3.851 -2.677 8
5.045 -4.985 -2.571 9
4.676 -5.716 -1.785 8
3.513 -6.243 -0.717 8
1.759 -6.863 -0.031 9
-0.425 -7.705 -0.639 8
2.274 -10.698 -0.099 9
3.91 -8.599 -0.883 8
5.832 -5.801 -2.248 8
7.108 -2.717 -3.573 9
7.253 0.701 -4.211 8
9.702 0.295 -3.128 8
4.871 -0.047 -1.652 9
-0.92 0.044 -0.692 8
-4.504 -0.734 1.176 9
-6.73 -2.031 2.913 8
-9.586 -3.019 3.323 8
-12.589 -3.951 4.129 9
-12.909 -5.213 2.655 8
-11.951 -5.134 1.305 9
-9.083 -3.698 -0.444 8
-6.004 -1.406 -2.14 8
-4.754 0.635 -2.816 9
-5.004 0.242 -1.574 8
-5.551 -0.512 -2.208 9
-5.626 -0.9 -3.29 8
-5.892 -0.124 -4.82 8
-6.49 2.038 -5.555 9
-6.886 5.19 -4.178 8
-5.342 7.698 -1.413 9
-4.875 9.259 0.093 8
-3.696 9.409 1.082 8
-2.593 9.103 1.819 9
-1.574 8.638 1.763 8
-0.175 7.802 0.477 8
1.503 6.478 -0.464 9
2.704 5.369 -1.086 8
3.426 4.557 -1.41 9
3.474 3.892 -1.15 8
3.087 3.044 0.025 8
2.844 1.763 2.101 9
3.498 0.439 3.866 8
3.71 -0.205 3.018 9
3.453 -0.295 1.952 8
2.816 -0.102 1.183 8
2.07 0.184 0.911 9
1.495 0.453 1.054 8
0.782 0.78 0.937 9
0.169 0.926 0.912 8
-0.241 1.057 1.097 8
-0.585 1.499 1.093 9
-0.537 1.988 0.68 8
0.065 2.094 -0.161 9
-0.821 2.502 -1.415 8
-0.405 2.208 -1.795 8
0.38 1.72 -1.861 9
1.308 1.131 -1.677 8
2.385 0.464 -1.565 9
3.47 -0.277 -1.753 8
2.996 -1.037 -0.962 8
2.723 -2.052 -0.968 9
3.293 -2.794 -0.815 8
4.114 -3.55 0.092 8
4.639 -4.231 1.42 9
4.691 -4.42 2.209 8
4.978 -4.126 2.161 9
5.394 -4.474 2.442 8
7.523 -5.934 3.983 8
10.099 -8.207 5.282 9
10.949 -10.117 4.709 8
8.135 -10.003 1.39 9
2.577 -6.51 -2.953 8
-0.902 -1.586 -4.065 8
-1.668 2.061 -3.708 9
-1.516 4.022 -3.452 8
-1.903 4.412 -3.192 9
-3.365 3.58 -1.721 8
-5.139 2.197 -0.618 8
-6.188 0.001 0.217 9
-7.274 -2.13 -0.013 8
-8.233 -4.203 -0.328 9
-8.862 -6.049 -0.365 8
-9.059 -7.24 -0.591 8
-8.572 -7.397 -0.997 9
-7.272 -7.067 -1.353 8
-4.577 -5.292 -1.194 8
-0.872 -1.673 -0.939 9
2.463 3.059 -0.815 8
3.733 7.42 -0.705 9
3.407 9.766 -0.422 8
3.03 10.358 0.041 8
2.483 10.147 0.686 9
1.452 9.448 1.59 8
-0.201 8.37 2.79 9
-2.254 6.878 4.118 8
-3.435 4.807 4.308 8
-3.549 3.052 3.966 9
-3.494 1.649 4.03 8
-4.057 0.724 4.251 9
-4.755 0.113 3.801 8
-4.299 -0.508 1.96 8
-4.345 -0.502 0.983 9
-3.674 -0.389 0.952 8
-3.151 -0.081 0.729 9
-2.612 0.307 0.322 8
-1.972 0.646 0.048 8
-1.498 0.934 0.204 9
-2.274 1.938 0.126 8
-2.718 2.059 0.52 9
-1.712 1.504 0.037 8
-0.455 0.741 -0.492 8
0.586 -0.095 -0.751 9
2.06 -1.217 -1.248 8
3.023 -2.062 -0.926 8
3.134 -2.598 -0.557 9
2.727 -2.68 0.073 8
2.341 -2.428 0.391 9
1.983 -1.888 0.164 8
1.183 -1.025 -0.218 8
1.294 -0.717 -0.137 9
1.504 -1.005 1.106 8
1.394 -1.141 1.973 9
1.093 -0.995 2.285 8
0.766 -0.678 2.182 8
0.471 -0.422 1.896 9
0.3 -0.399 2.159 8
0.437 -0.552 2.839 9
1.168 -0.795 2.644 8
2.486 -1.23 2.208 8
3.62 -1.571 1.979 9
3.361 -1.211 1.706 8
3.653 -1.149 1.821 9
3.926 -1.128 1.18 8
3.801 -0.961 0.533 8
3.461 -0.726 -0.153 9
3.147 -0.526 -0.847 8
2.965 -0.411 -1.268 9
2.92 -0.56 -1.543 8
2.474 -0.547 -1.187 8
2.126 -0.715 -1.328 9
1.922 -1.056 -1.913 8
1.551 -1.395 -2.652 8
0.512 -1.5 -3.306 9
-0.528 -1.605 -3.263 8
-1.029 -1.597 -3.347 9
-1.394 -1.514 -3.343 8
-1.509 -1.382 -3.323 8
-1.576 -1.059 -3.497 9
-2.226 -0.245 -4.074 8
-1.04 0.092 -3.917 9
-0.686 0.288 -2.853 8
-0.007 0.276 -2.498 8
0.917 -0.084 -2.308 9
1.692 -0.695 -1.822 8
1.949 -1.092 -1.417 9
2.828 -1.874 -1.844 8
4.305 -2.733 -1.93 8
5.387 -3.083 -1.777 9
6.239 -3.146 -1.69 8
7.126 -3.234 -1.633 9
7.883 -3.383 -1.026 8
7.322 -3.003 -0.619 8
5.417 -1.76 -1.414 9
2.3 -0.318 -1.819 8
-1.06 0.78 -1.503 8
-3.838 1.236 -0.718 9
-5.949 1.077 0.124 8
-8.384 0.533 2.649 9
-8.655 -1.247 4.637 8
-8.009 -3.705 5.153 8
-7.898 -5.477 4.438 9
-8.559 -5.885 3.27 8
-8.318 -5.753 2.501 9
-7.511 -4.858 0.576 8
-5.998 -3.37 -0.508 8
-3.671 -1.705 -1.286 9
-2.797 0.26 -1.745 8
-4.235 2.238 -1.946 9
-5.153 3.002 -2.376 8
-6.147 4.531 -3.305 8
-5.554 6.003 -2.469 9
-5.004 7.315 -1.161 8
-4.328 8.381 -0.254 9
-3.283 9.028 0.256 8
-2.623 8.923 1.627 8
-0.15 6.838 5.612 9
0.908 5.433 9.094 8
1.321 4.609 11.695 9
1.162 4.53 10.658 8
0.633 5.082 5.122 8
0.628 5.534 -0.74 9
3.118 5.099 -2.334 8
4.548 4.365 -2.999 8
4.826 3.405 -3.123 9
4.7 2.377 -2.227 8
4.664 1.55 -0.418 9
4.092 1.32 0.483 8
2.896 1.68 -0.633 8
2.049 1.739 -1.346 9
1.551 1.425 -1.53 8
1.189 0.83 -1.201 9
0.674 0.259 -0.719 8
0.338 -0.145 -0.694 8
0.212 -0.272 -0.692 9
-0.127 -0.205 -0.758 8
-0.426 -0.131 -1.124 9
-0.65 -0.049 -1.573 8
-0.986 0.157 -1.647 8
-1.661 0.438 -1.293 9
-1.74 0.305 -0.227 8
-1.139 -0.171 0.122 9
0.472 -1.032 -0.713 8
2.043 -2.049 -1.493 8
2.498 -2.99 -0.471 9
5.58 -4.597 1.012 8
7.751 -5.767 0.806 8
10.208 -7.331 -1.49 9
13.294 -9.376 -5.398 8
15.663 -11.301 -8.376 9
14.708 -11.858 -6.676 8
9.491 -10.215 -0.942 8
2.364 -5.832 1.991 9
0.364 -1.419 1.954 8
0.303 1.982 1.447 9
0.0 4.298 1.51 8
-0.659 5.904 1.727 8
-1.55 6.528 1.685 9
-2.025 6.386 2.203 8
-2.734 5.447 2.667 9
-3.873 3.984 2.309 8
-5.253 2.367 1.272 8
-9.017 -0.692 0.014 9
-10.551 -6.609 0.072 8
-9.67 -12.927 -0.379 9
-5.068 -17.61 -1.427 8
-0.705 -18.028 -2.056 8
1.271 -13.178 -2.267 9
1.348 -4.303 -2.761 8
0.463 4.404 -2.216 9
0.246 8.743 -1.267 8
0.115 10.603 -0.253 8
0.228 10.832 0.446 9
0.731 9.998 0.876 8
1.448 8.589 1.417 8
0.843 7.839 2.134 9
-1.253 7.573 2.344 8
-2.591 6.803 2.103 9
-4.236 5.645 2.097 8
-6.599 4.323 2.667 8
-8.926 3.001 3.511 9
-9.551 1.78 2.906 8
-7.513 0.943 2.76 9
-4.607 0.431 1.441 8
-2.639 0.333 0.052 8
-2.113 0.544 -0.355 9
-1.972 0.823 0.229 8
-1.454 0.935 1.251 9
-1.059 0.908 2.3 8
-1.013 0.657 2.978 8
-0.896 0.309 2.85 9
-0.348 -0.153 1.818 8
0.72 -0.855 0.278 9
1.899 -1.444 -0.396 8
2.528 -1.684 -1.324 8
